Year	0_temp	1_temp	2_temp	3_temp	4_temp
2266	1.05671625646	1.45709546369	2.09012614182	1.24999538096	1.70870860049
2267	1.05663971974	1.45695546824	2.09065149223	1.24979883786	1.70876605809
2268	1.05656413538	1.45681643427	2.09117575929	1.24960348327	1.70882384697
2269	1.05648940968	1.45667819891	2.09169871958	1.24940918413	1.70888177627
2270	1.05641545066	1.45654060238	2.09222015389	1.24921580993	1.7089396587
2271	1.05634217424	1.45640349879	2.0927398623	1.2490232414	1.70899732339
2272	1.05626951127	1.45626676846	2.0932576814	1.24883138057	1.70905463041
2273	1.05619740489	1.45613031332	2.09377347788	1.24864014699	1.70911146532
2274	1.05612580976	1.45599405549	2.09428714662	1.24844947663	1.70916773757
2275	1.05605469122	1.45585793588	2.0947986087	1.24825932068	1.70922337878
2276	1.05598402196	1.45572190831	2.09530780321	1.24806964083	1.70927833584
2277	1.05591378038	1.45558593664	2.09581468328	1.24788040691	1.70933256749
2278	1.0558439512	1.45544999583	2.09631921757	1.24769159774	1.70938604562
2279	1.05577452526	1.45531407162	2.09682138979	1.2475032009	1.70943875481
2280	1.05570549855	1.45517815879	2.09732119632	1.2473152113	1.7094906904
2281	1.05563686711	1.45504225227	2.09781863383	1.24712762395	1.70954184788
2282	1.05556863009	1.45490635246	2.0983137066	1.2469404383	1.70959222921
2283	1.05550079439	1.45477047339	2.09880643804	1.24675366486	1.70964185249
2284	1.05543337056	1.45463463547	2.09929686055	1.24656731929	1.70969074338
2285	1.05536637112	1.45449886264	2.09978501152	1.24638142014	1.70973893172
2286	1.05529980959	1.45436318063	2.10027093089	1.24619598735	1.7097864495
2287	1.0552336974	1.45422761153	2.10075465358	1.24601103793	1.7098333244
2288	1.0551680429	1.45409217206	2.10123620712	1.24582658452	1.70987957781
2289	1.05510285286	1.45395687622	2.10171561525	1.24564263751	1.7099252279
2290	1.05503813014	1.45382173119	2.10219289229	1.24545920176	1.7099702848
2291	1.05497387826	1.45368674534	2.10266805422	1.24527628309	1.71001476006
2292	1.05491010412	1.45355193298	2.10314112542	1.24509389214	1.71005867229
2293	1.05484681355	1.45341730662	2.10361212775	1.24491203804	1.71010203793
2294	1.05478401145	1.45328287712	2.10408108087	1.2447307286	1.71014487155
2295	1.05472170187	1.45314865392	2.10454800248	1.24454997046	1.71018718602
2296	1.05465988813	1.45301464518	2.10501290857	1.24436976923	1.71022899273
2297	1.05459857289	1.45288085795	2.10547581357	1.24419012958	1.71027030175
2298	1.05453775823	1.45274729828	2.1059367306	1.24401105537	1.710311122
2299	1.0544774457	1.45261397135	2.10639567158	1.24383254975	1.71035146137
2300	1.05441763642	1.45248088156	2.10685264741	1.24365461522	1.71039132685
2301	1.05435833108	1.45234803262	2.10730766804	1.24347725373	1.71043072462
2302	1.05429953002	1.45221542767	2.10776074263	1.24330046673	1.71046966018
2303	1.05424123328	1.45208306927	2.10821187963	1.24312425522	1.7105081384
2304	1.05418344061	1.45195095954	2.10866108687	1.24294861984	1.7105461636
2305	1.05412615149	1.45181910019	2.10910837163	1.24277356085	1.71058373963
2306	1.05406936521	1.45168749255	2.1095537407	1.24259907824	1.7106208699
2307	1.05401308085	1.45155613765	2.10999720048	1.24242517172	1.71065755749
2308	1.05395729734	1.45142503621	2.11043875699	1.24225184077	1.71069380511
2309	1.05390201344	1.45129418875	2.11087841592	1.24207908467	1.71072961521
2310	1.05384722778	1.45116359553	2.11131618271	1.24190690252	1.71076498999
2311	1.05379293889	1.45103325664	2.11175206253	1.24173529326	1.71079993145
2312	1.05373914516	1.450903172	2.11218606036	1.24156425568	1.71083444136
2313	1.05368584494	1.45077334141	2.11261818101	1.24139378847	1.71086852136
2314	1.05363303646	1.45064376451	2.11304842912	1.24122389021	1.71090217295
2315	1.0535807179	1.45051444085	2.1134768092	1.24105455937	1.71093539747
2316	1.05352888738	1.45038536989	2.11390332565	1.24088579437	1.7109681962
2317	1.05347754296	1.45025655101	2.11432798278	1.24071759353	1.7110005703
2318	1.05342668266	1.45012798349	2.11475078482	1.24054995514	1.71103252086
2319	1.05337630445	1.4499996666	2.11517173592	1.24038287741	1.71106404891
2320	1.05332640628	1.44987159951	2.11559084019	1.24021635854	1.7110951554
2321	1.05327698606	1.44974378139	2.11600810169	1.24005039667	1.71112584127
2322	1.05322804169	1.44961621135	2.11642352444	1.2398849899	1.71115610739
2323	1.05317957102	1.44948888848	2.11683711243	1.23972013633	1.71118595461
2324	1.0531315719	1.44936181182	2.11724886965	1.23955583402	1.71121538375
2325	1.05308404218	1.44923498044	2.11765880003	1.23939208103	1.71124439562
2326	1.05303697966	1.44910839334	2.11806690754	1.23922887537	1.71127299099
2327	1.05299038217	1.44898204954	2.11847319611	1.23906621508	1.71130117064
2328	1.0529442475	1.44885594805	2.11887766968	1.23890409817	1.71132893534
2329	1.05289857344	1.44873008787	2.11928033219	1.23874252265	1.71135628584
2330	1.0528533578	1.44860446798	2.11968118758	1.23858148651	1.71138322289
2331	1.05280859835	1.44847908738	2.1200802398	1.23842098777	1.71140974725
2332	1.05276429288	1.44835394505	2.1204774928	1.23826102441	1.71143585968
2333	1.05272043918	1.44822904	2.12087295056	1.23810159445	1.71146156093
2334	1.05267703504	1.44810437122	2.12126661704	1.23794269588	1.71148685177
2335	1.05263407823	1.44797993771	2.12165849625	1.2377843267	1.71151173295
2336	1.05259156654	1.44785573846	2.12204859217	1.23762648494	1.71153620526
2337	1.05254949777	1.44773177251	2.12243690883	1.23746916861	1.71156026948
2338	1.0525078697	1.44760803885	2.12282345026	1.23731237571	1.7115839264
2339	1.05246668014	1.44748453652	2.1232082205	1.23715610429	1.7116071768
2340	1.05242592688	1.44736126455	2.12359122361	1.23700035237	1.71163002151
2341	1.05238560773	1.44723822198	2.12397246368	1.236845118	1.71165246135
2342	1.0523457205	1.44711540786	2.12435194478	1.23669039921	1.71167449712
2343	1.052306263	1.44699282124	2.12472967104	1.23653619407	1.71169612968
2344	1.05226723305	1.4468704612	2.12510564657	1.23638250064	1.71171735987
2345	1.05222862847	1.44674832681	2.1254798755	1.23622931699	1.71173818855
2346	1.05219044711	1.44662641716	2.125852362	1.23607664119	1.71175861658
2347	1.05215268679	1.44650473134	2.12622311023	1.23592447134	1.71177864484
2348	1.05211534537	1.44638326845	2.12659212436	1.23577280554	1.71179827423
2349	1.05207842068	1.44626202762	2.1269594086	1.23562164189	1.71181750564
2350	1.0520419106	1.44614100797	2.12732496716	1.2354709785	1.71183633998
2351	1.05200581297	1.44602020862	2.12768880426	1.23532081349	1.71185477816
2352	1.05197012568	1.44589962872	2.12805092414	1.23517114501	1.71187282112
2353	1.0519348466	1.44577926743	2.12841133104	1.23502197118	1.7118904698
2354	1.05189997361	1.44565912391	2.12877002923	1.23487329016	1.71190772514
2355	1.05186550461	1.44553919732	2.12912702297	1.23472510012	1.71192458809
2356	1.05183143749	1.44541948685	2.12948231657	1.23457739921	1.71194105963
2357	1.05179777016	1.44529999169	2.1298359143	1.23443018561	1.71195714074
2358	1.05176450053	1.44518071103	2.13018782049	1.23428345752	1.71197283238
2359	1.05173162653	1.44506164409	2.13053803943	1.23413721311	1.71198813557
2360	1.05169914607	1.44494279007	2.13088657547	1.23399145061	1.71200305128
2361	1.05166705709	1.4448241482	2.13123343294	1.23384616821	1.71201758055
2362	1.05163535754	1.44470571772	2.13157861618	1.23370136415	1.71203172437
2363	1.05160404536	1.44458749786	2.13192212955	1.23355703664	1.71204548378
2364	1.05157311851	1.44446948788	2.1322639774	1.23341318393	1.71205885981
2365	1.05154257495	1.44435168703	2.13260416411	1.23326980426	1.71207185349
2366	1.05151241265	1.44423409457	2.13294269406	1.2331268959	1.71208446588
2367	1.0514826296	1.44411670979	2.13327957162	1.23298445709	1.71209669801
2368	1.05145322377	1.44399953196	2.13361480119	1.23284248612	1.71210855096
